"","SNU601_DMSO","SNU601_Ortho","SNU601_Para","SNU601_Meta","SNU216_DMSO","SNU216_Ortho","SNU216_Para","SNU216_Meta","SNU668_DMSO","SNU688_Ortho","SNU688_Para","SNU688_Meta","AGS_DMSO","AGS_Ortho","AGS_Para","AGS_Meta","MKN1_DMSO","MKN1_Ortho","MKN1_Para","MKN1_Meta"
"CHAF1A",7.43697007886033,7.34181264016057,4.88884009013632,7.33005474194465,6.89121490651711,7.09582723834052,5.68161670373269,7.18478219027738,7.53503330322777,7.5675081434243,5.76866870312996,7.76941140908995,6.89725677464691,7.05215681175257,5.01319453865947,7.00777005322989,6.41600848885107,6.4487198497479,5.96032087030492,6.66042535978269
"MIR3136",4.19383938715212,4.74064637003685,6.07284015741078,4.80214690574859,3.96431483472332,4.08604964523924,5.16810113891447,4.34706711582402,3.58385955390042,3.15532288100218,4.47341013281953,3.9210036868303,3.80980345467975,4.2890937540585,5.0495452223748,4.50907663510487,3.12921147751884,3.49766530125978,4.07246125047388,2.88301812613656
"MIR3198-1",5.2808469863548,5.65045889366714,4.44013789994195,5.57175234293461,5.5959876602074,5.51928388621022,4.98980176061443,5.59032275623988,6.23243432702258,5.89762719594203,4.90456547371506,6.45401967598148,5.12441519172748,5.53976241808672,4.23332623754184,5.38166695679771,6.07347906895625,6.11657439202728,5.52114545647812,6.17189535804947
"LINC00673",7.91341007270287,7.70538552222557,5.66225453317104,7.65772733126382,6.12632156227979,5.73872919742498,5.29043130565204,5.91359982436035,5.84851983970836,6.00745680428022,5.22493022827473,5.86042368184495,6.50068691423234,6.78270232230167,4.96633596184938,6.36923452813816,5.49295578896049,5.70726030270926,4.70443016481849,5.57906930982102
"MIR3671",3.30761473472945,4.18889054355506,5.61178038732132,4.07609537856871,4.98992385042084,4.74682040069653,6.6060701611283,5.17347482571899,2.87344457337653,3.37126832237812,4.17180677831249,3.29021527691164,3.97630643334245,4.28642737810641,5.87591008685792,4.13381618568212,4.20486462034288,4.56824880081666,6.04263238511429,4.61875564561113
"SNHG21",4.51999817435868,4.55134280532018,6.39040146450611,5.00182782687915,5.13667966998747,5.09312560341582,6.30592191647948,5.48381146707409,5.16727999408686,5.0714601588717,6.24798838605365,5.07369465116526,4.574167022079,4.91558497503129,5.62154418868501,4.65344608242272,4.99684269688403,4.69945262194435,5.57890345627213,4.90031244731313
"SH3BP5-AS1",5.87013745381269,6.06982893885175,7.7167043303706,6.0645623932811,5.43535962106495,5.5652555584548,7.11853935912937,5.44281134632825,5.74525845486133,5.87260188162021,6.7846270592149,5.59867434239633,5.29143916396931,5.35213252480178,6.5914390066765,5.34222692147797,5.10099180011124,5.31613989436186,6.0645623932811,5.43722314736484
"OSER1-DT",5.40297780158745,5.43036624160625,6.79016365224059,5.47624139989399,6.62192770260219,6.60744437314967,8.29763818016099,6.43633565176327,4.94539266629352,5.06024000124431,5.71586825929013,5.15360365955728,5.02693643482127,4.98290526882996,5.68834733237899,5.04900445554441,5.61436923541054,5.57805890642063,7.54820777823257,5.58455777237012
"TMEM35B",6.74669829997874,6.94969202659772,6.0841517195662,6.77712758101054,8.46486517412997,8.80068340607677,7.05000685334847,8.5974580775995,7.09025612824745,7.39518253807787,6.2980638637871,7.33567748680738,8.13098453985192,8.15852594155412,6.67091638112544,8.25513201896906,8.01783087400766,8.1721105135531,7.02285838426184,8.12903501218086
"GIHCG",3.24599619341122,3.39389666592457,4.12704136396141,3.23668113861894,3.70442285985601,3.761794335312,4.61034774894239,3.89930185446479,3.88848989696619,3.96959853197503,5.80924237565537,4.41355035369957,3.30845008603917,3.39132568485671,4.0436990698446,3.46053485413552,4.61991517082482,4.24838052198208,5.97713859463043,4.64437654162738
