"","SNU601_DMSO","SNU601_Ortho","SNU601_Para","SNU601_Meta","SNU216_DMSO","SNU216_Ortho","SNU216_Para","SNU216_Meta","SNU668_DMSO","SNU688_Ortho","SNU688_Para","SNU688_Meta","AGS_DMSO","AGS_Ortho","AGS_Para","AGS_Meta","MKN1_DMSO","MKN1_Ortho","MKN1_Para","MKN1_Meta"
"17000746",6.40847635164503,6.45659256153235,7.2506661394692,6.27783790790786,6.02624425995529,6.14500212947255,7.34327687476988,5.70231034870103,7.18441256874612,7.25728691894505,8.07544232171525,7.26389205278254,6.7266468170986,6.8467770466296,7.47992048028815,6.92885434723335,6.82239198071243,6.75894799261421,7.82851172563302,6.8533950144445
"16916559",4.9325031496246,5.31977610176945,5.32893276934723,5.53293451262624,5.94037172034858,6.56002508338355,6.30197045751028,6.02001363033206,4.69946019359783,4.9781201428429,5.86663844532333,4.62680362857742,5.23046677211182,5.09398940358219,5.5680583437521,5.35758208797035,4.17881084762396,4.06963143579504,3.74407414577845,4.08729093595395
"17093373",5.88356859241175,5.99457218791989,6.20236862758346,5.81531306210674,5.38680768141073,6.05616698756851,6.13682549434501,5.4244083125793,4.67706793968375,4.73969699802564,5.13502572339831,4.98609644448579,5.19358104384829,5.53742368637657,5.40017273941661,5.54331992130754,3.90475369450726,4.09931710314383,4.86924036873192,4.27627040068085
"16983157",7.96959059602492,7.60405834736321,8.1176109782317,8.01572009326429,6.00766091964624,5.88419481636857,6.62959596524657,5.90788171768544,3.59362242651221,3.04897523545568,4.14888190490966,3.11641272254963,7.29149204027107,7.46560127655057,7.26733868904131,7.46308210668178,5.65521883013932,6.13780733210377,6.06836687908575,6.16388033481874
"16783830",5.2555018300419,5.54994472077129,5.39105473514722,5.36403087206941,5.15663490585331,5.58256082215271,5.13270320864023,5.55581722131181,4.76535927374696,5.52496971924931,4.64471489710628,5.13245503902979,5.51785578374519,5.32254993239689,6.29879408383674,5.74784851497468,4.03336418064543,4.12796635488939,4.55846827165719,4.01309886806524
"16789953",5.74855848702981,5.6205089785701,5.82437247729077,5.87648814584661,5.29291939221827,5.6409127103145,5.17388129092472,5.45237721546331,4.88240980549604,5.27093830467686,5.41669281870586,5.09486230778324,5.90120759816318,5.9194542871984,5.94976929740819,5.78202707814642,3.88822134846462,3.70940672549345,4.07000539176539,3.58463912099735
"16889629",5.45562706429128,5.61792787270155,6.4633737251447,6.09880463384688,4.52874142215979,4.98413546958817,5.06044326155037,5.20168361498709,5.48818366746949,5.56912738079122,5.64995335474278,5.04358772906005,4.85511337329039,5.54790198846946,5.80467199647018,4.6211735891768,4.20188469619458,4.99699190795848,5.32394705166044,4.22909465891037
"16914743",8.82692942954412,8.87513508269651,8.54469768265469,8.76918806768292,9.01455185172241,9.71488709572513,9.21494634801543,9.13330982375027,7.92300103922207,7.82639497836886,8.20499209974042,8.0087199575862,8.30499374575366,8.20236484017877,8.33373541263362,8.41975438266097,8.0255844027804,8.00968268266805,7.41137668142491,8.06504436395514
"17004859",4.26312061216227,3.59595518127158,3.78543124810512,4.21995695023994,4.9717817740066,5.06136251033297,4.80760717498027,4.89739423407663,4.19606026515336,4.3022223097775,4.07296634127771,3.93726677043478,3.8230783887813,3.8783881581166,3.93217190412467,3.96364676806823,5.69429554668783,5.5931311593754,5.22638098988249,5.61001382659926
"16855180",7.501763836814,7.47930159216302,7.38146322482541,7.85860263990954,7.63987605582199,7.76289682976962,7.52199623468744,7.77478595918837,7.75767433198305,7.77103795496364,7.90185728556417,7.91071704916458,7.01447564607688,6.94705629031282,6.27222451944507,7.01388364604118,7.31834761996801,7.88472480627066,6.79989840216728,7.80274051568553
"16898655",3.56664105056008,4.24320855437515,4.58626890280775,4.37030567662086,3.42492615806371,3.98571195216334,3.46407998042018,3.41136008046104,3.55838500984963,3.55817314735545,4.88910285868762,3.46407998042018,3.54931285281536,4.22478733740375,5.30757127805297,4.4500072367823,2.95015868066307,3.44807938445273,3.87894931803613,3.04481369769824
